participantID,condition,pNew,pOld,boxesFlipped,absColorDiff,blueFlipped,yellowFlipped,accuracy,discriminationError,boardDifficulty,trialRT,gender.x,age.x,education.x,gender.y,age.y,education.y
3,high,0.942842858,0.8234273364285715,8.142857142857142,3.857142857142857,4,4.142857142857143,1,0,19.714285714285715,27477.571428571428,2,32,7,2,32,7
3,low,0.9738833747142858,0.9102543421428572,11.571428571428571,5,5.571428571428571,6,1,0,19.714285714285715,8560.542857142857,2,32,7,2,32,7
3,medium,0.9687035364285714,0.8465788704285714,7.428571428571429,4.285714285714286,4.285714285714286,3.142857142857143,1,0,19.857142857142858,11142.728571428572,2,32,7,2,32,7
6,high,0.804170364,0.6402997631428572,3.142857142857143,1.7142857142857142,1.5714285714285714,1.5714285714285714,1,0,19.714285714285715,11440.014285714286,2,26,6,2,26,6
6,low,0.837657498,0.6853501455714286,4.285714285714286,2.2857142857142856,2.142857142857143,2.142857142857143,1,0,19.714285714285715,4066.7999999999997,2,26,6,2,26,6
6,medium,0.895962733,0.7208183832857142,4.142857142857143,2.7142857142857144,2.4285714285714284,1.7142857142857142,1,0,19.857142857142858,6929.142857142857,2,26,6,2,26,6
8,high,0.9893391177142857,0.9705984932857142,15.142857142857142,6.857142857142857,7.428571428571429,7.714285714285714,1,0,19.714285714285715,52138.77142857143,2,27,6,2,27,6
8,low,0.9984466280000001,0.9938616072857143,16.285714285714285,8,7.571428571428571,8.714285714285714,1,0,19.714285714285715,8162.528571428572,2,27,6,2,27,6
8,medium,0.9927771472857143,0.9852120535714286,17.428571428571427,6.571428571428571,9,8.428571428571429,1,0,19.857142857142858,20409.6,2,27,6,2,27,6
9,high,0.9160712018571429,0.8008264812857143,7.142857142857143,3.7142857142857144,3.4285714285714284,3.7142857142857144,1,0,19.714285714285715,31243.842857142856,2,32,6,2,32,6
9,low,0.9591669161428571,0.8573461258571429,7.714285714285714,4.571428571428571,3.857142857142857,3.857142857142857,1,0,19.714285714285715,11882.57142857143,2,32,6,2,32,6
9,medium,0.8486350787142857,0.7354619161428572,7.857142857142857,2.7142857142857144,3.857142857142857,4,1,0,19.857142857142858,18444.428571428572,2,32,6,2,32,6
13,high,0.8708891795714285,0.7100394112857142,4.571428571428571,2.5714285714285716,2,2.5714285714285716,1,0,19.714285714285715,15092.7,2,27,7,2,27,7
13,low,0.9288229388571428,0.8481148308571429,9.857142857142858,4.428571428571429,4.285714285714286,5.571428571428571,1,0,19.714285714285715,6519.614285714286,2,27,7,2,27,7
13,medium,0.828318229,0.7106165204285715,6,2.5714285714285716,3.2857142857142856,2.7142857142857144,1,0.14285714285714285,19.857142857142858,9454.114285714286,2,27,7,2,27,7
14,high,0.8872492795714285,0.7792224882857143,7.428571428571429,3.4285714285714284,3.5714285714285716,3.857142857142857,1,0,19.714285714285715,25615.114285714288,1,25,7,1,25,7
14,low,0.9774130201428571,0.8850781575714286,7.714285714285714,5.142857142857143,3.4285714285714284,4.285714285714286,1,0,19.714285714285715,6382.0142857142855,1,25,7,1,25,7
14,medium,0.9579339652857143,0.8598327635714286,8,4.571428571428571,4.285714285714286,3.7142857142857144,1,0,19.857142857142858,11216.257142857143,1,25,7,1,25,7
16,high,0.8625451828571429,0.7354813984285714,6.285714285714286,2.857142857142857,3.4285714285714284,2.857142857142857,0.8571428571428571,0,19.714285714285715,25975.685714285715,2,29,7,2,29,7
16,low,0.8833204127142857,0.7573103222857143,6.571428571428571,3.142857142857143,2.7142857142857144,3.857142857142857,1,0,19.714285714285715,15860.5,2,29,7,2,29,7
16,medium,0.8466123381428571,0.7123276847142858,5.714285714285714,2.5714285714285716,3.142857142857143,2.5714285714285716,0.7142857142857143,0,19.857142857142858,12975.742857142857,2,29,7,2,29,7
17,high,0.9815947155714285,0.962995257,14.428571428571429,6.714285714285714,6.571428571428571,7.857142857142857,1,0,19.714285714285715,45870.08571428571,2,29,4,2,29,4
17,low,0.9997940502857143,0.9977329798571428,16,8.857142857142858,7.142857142857143,8.857142857142858,1,0,19.714285714285715,10498.642857142857,2,29,4,2,29,4
17,medium,0.9991188968571428,0.9959542412857143,16.142857142857142,7.857142857142857,8.714285714285714,7.428571428571429,1,0,19.857142857142858,18763,2,29,4,2,29,4
23,high,0.9273866342857143,0.7910021371428572,5.714285714285714,3.7142857142857144,3,2.7142857142857144,0.8571428571428571,0,19.714285714285715,19305.2,2,25,6,2,25,6
23,low,0.9239937531428571,0.7942202428571429,7,3.5714285714285716,3.142857142857143,3.857142857142857,1,0,19.714285714285715,6143.657142857143,2,25,6,2,25,6
23,medium,0.8783883621428571,0.7477357045714286,6.142857142857143,3,3.4285714285714284,2.7142857142857144,1,0,19.857142857142858,9701.457142857143,2,25,6,2,25,6
27,high,0.94315534,0.8495314461428571,10,4,5,5,1,0,19.714285714285715,28472.485714285714,1,25,7,1,25,7
27,low,0.996208543,0.9854561942857143,15.857142857142858,7.285714285714286,7.571428571428571,8.285714285714286,1,0,19.714285714285715,7397.057142857143,1,25,7,1,25,7
27,medium,0.9755863122857144,0.9116298131428572,11.142857142857142,5.142857142857143,6.285714285714286,4.857142857142857,1,0,19.857142857142858,13203.785714285716,1,25,7,1,25,7
28,high,0.9093556965714286,0.7735992157142857,6.714285714285714,3.2857142857142856,3.142857142857143,3.5714285714285716,1,0,19.714285714285715,24242.871428571427,2,23,7,2,23,7
28,low,0.9326584455714286,0.7825751982857143,6,3.4285714285714284,2.857142857142857,3.142857142857143,1,0,19.714285714285715,7669.671428571429,2,23,7,2,23,7
28,medium,0.9171606034285714,0.7654397145714286,5.285714285714286,3.2857142857142856,3.2857142857142856,2,1,0,19.857142857142858,9102.485714285714,2,23,7,2,23,7
29,high,0.9156031658571429,0.8395712714285715,9.714285714285714,4.285714285714286,4,5.714285714285714,1,0,19.714285714285715,30829.185714285715,1,23,6,1,23,6
29,low,0.893826043,0.838256836,10.571428571428571,4.571428571428571,5,5.571428571428571,1,0,19.714285714285715,7221.042857142857,1,23,6,1,23,6
29,medium,0.9915853892857143,0.9369158064285714,10,6,5.428571428571429,4.571428571428571,1,0,19.857142857142858,12462.92857142857,1,23,6,1,23,6
30,high,0.9617683595714286,0.91595241,12.142857142857142,6.142857142857143,5,7.142857142857143,1,0,19.714285714285715,31801.742857142857,1,23,7,1,23,7
30,low,0.9942307861428571,0.9711935861428571,14.571428571428571,6.571428571428571,6.857142857142857,7.714285714285714,1,0,19.714285714285715,7821.4857142857145,1,23,7,1,23,7
30,medium,0.9793207534285714,0.9324433465714286,12.714285714285714,5.857142857142857,6.571428571428571,6.142857142857143,1,0,19.857142857142858,14585.028571428571,1,23,7,1,23,7
31,high,0.8881338714285715,0.795853206,8.571428571428571,3.7142857142857144,4.571428571428571,4,1,0,19.714285714285715,32781.94285714286,2,24,7,2,24,7
31,low,0.9970097878571429,0.9847128731428572,17.714285714285715,7.428571428571429,8.285714285714286,9.428571428571429,1,0,19.714285714285715,10248.085714285713,2,24,7,2,24,7
31,medium,0.9461289047142857,0.8905269078571428,12.142857142857142,5.285714285714286,6.428571428571429,5.714285714285714,1,0,19.857142857142858,22178.514285714286,2,24,7,2,24,7
32,high,1,1,17.714285714285715,8.285714285714286,8.857142857142858,8.857142857142858,1,0,19.714285714285715,54356.72857142857,2,24,7,2,24,7
32,low,1,1,19.428571428571427,8.857142857142858,9.857142857142858,9.571428571428571,1,0,19.714285714285715,11085.914285714285,2,24,7,2,24,7
32,medium,1,1,17.857142857142858,8.142857142857142,10,7.857142857142857,1,0,19.857142857142858,22500.371428571427,2,24,7,2,24,7
33,high,0.866424602,0.7251992224285715,5.571428571428571,2.7142857142857144,2.2857142857142856,3.2857142857142856,1,0,19.714285714285715,23321.257142857143,2,22,7,2,22,7
33,low,0.8354594102857142,0.7290221622857143,6.857142857142857,2.857142857142857,4.571428571428571,2.2857142857142856,0.5714285714285714,0,19.714285714285715,7052.771428571428,2,22,7,2,22,7
33,medium,0.8939537002857143,0.755882808,6.714285714285714,3,3.5714285714285716,3.142857142857143,1,0,19.857142857142858,11633.885714285714,2,22,7,2,22,7
34,high,0.9312449832857143,0.7860625128571429,6.571428571428571,3.4285714285714284,3,3.5714285714285716,1,0,19.714285714285715,20251.114285714284,2,22,7,2,22,7
34,low,0.9981009750000001,0.9925362722857143,20.142857142857142,9,10.285714285714286,9.857142857142858,1,0,19.714285714285715,8752.242857142857,2,22,7,2,22,7
34,medium,0.9595652997142857,0.869592939,9.571428571428571,4.428571428571429,4.857142857142857,4.714285714285714,1,0,19.857142857142858,13681.957142857143,2,22,7,2,22,7
36,high,0.9048409845714286,0.7616158894285715,5.285714285714286,3.2857142857142856,3,2.2857142857142856,0.8571428571428571,0,19.714285714285715,17084.14285714286,2,22,6,2,22,6
36,low,0.8177941657142858,0.7124552045714285,7.857142857142857,2.4285714285714284,3.857142857142857,4,1,0,19.714285714285715,10283.971428571429,2,22,6,2,22,6
36,medium,0.9210521647142857,0.7770617347142857,5.714285714285714,3.4285714285714284,3.142857142857143,2.5714285714285716,1,0,19.857142857142858,10767.528571428571,2,22,6,2,22,6
37,high,0.8644720498571429,0.6862082481428571,3.4285714285714284,2.2857142857142856,1.5714285714285714,1.8571428571428572,1,0,19.714285714285715,16033.7,2,22,7,2,22,7
37,low,0.8373646851428571,0.6759110178571428,3.857142857142857,2.142857142857143,1.7142857142857142,2.142857142857143,0.7142857142857143,0,19.714285714285715,5492.942857142857,2,22,7,2,22,7
37,medium,0.8123336292857143,0.6517411301428572,3.2857142857142856,1.8571428571428572,1.5714285714285714,1.7142857142857142,0.8571428571428571,0,19.857142857142858,8660.985714285714,2,22,7,2,22,7
39,high,1,1,17.285714285714285,8.714285714285714,8,9.285714285714286,1,0,19.714285714285715,53208.72857142857,2,24,7,2,24,7
39,low,1,1,18.285714285714285,8.285714285714286,8.571428571428571,9.714285714285714,1,0,19.714285714285715,11437.714285714286,2,24,7,2,24,7
39,medium,1,1,17.428571428571427,8.571428571428571,9,8.428571428571429,1,0,19.857142857142858,25610.52857142857,2,24,7,2,24,7
40,high,0.9591851294285715,0.870948519,9.714285714285714,4.571428571428571,4.428571428571429,5.285714285714286,1,0,19.714285714285715,39924.04285714286,2,25,7,2,25,7
40,low,0.9851759925714286,0.9510740552857143,16.428571428571427,7.857142857142857,7.714285714285714,8.714285714285714,1,0,19.714285714285715,11195.8,2,25,7,2,25,7
40,medium,0.984898124,0.9228320121428571,11.428571428571429,5.714285714285714,5.714285714285714,5.714285714285714,1,0,19.857142857142858,19918.67142857143,2,25,7,2,25,7
43,high,0.8512802558571428,0.809117879,8.857142857142858,4.285714285714286,4.571428571428571,4.285714285714286,1,0.14285714285714285,19.714285714285715,26158.542857142857,2,25,7,2,25,7
43,low,0.91750649,0.8852168491428571,15.428571428571429,6.285714285714286,8.285714285714286,7.142857142857143,1,0,19.714285714285715,8303.571428571428,2,25,7,2,25,7
43,medium,0.8666687087142857,0.8157585688571428,10.428571428571429,5.285714285714286,6.142857142857143,4.285714285714286,0.8571428571428571,0.14285714285714285,19.857142857142858,14064.642857142857,2,25,7,2,25,7
44,high,0.9992023537142857,0.9972098214285714,17.285714285714285,8.142857142857142,8.571428571428571,8.714285714285714,1,0,19.714285714285715,43730.05714285714,1,28,6,1,28,6
44,low,1,1,19.142857142857142,8.571428571428571,9.714285714285714,9.428571428571429,1,0,19.714285714285715,10695.585714285713,1,28,6,1,28,6
44,medium,0.999624637,0.9979073661428571,17.285714285714285,7.857142857142857,9.714285714285714,7.571428571428571,1,0,19.857142857142858,18807.185714285715,1,28,6,1,28,6
47,high,1,1,18.285714285714285,7.714285714285714,9.142857142857142,9.142857142857142,1,0,19.714285714285715,60548.08571428571,2,22,7,2,22,7
47,low,1,1,18.428571428571427,8.428571428571429,8.857142857142858,9.571428571428571,1,0,19.714285714285715,10155.571428571428,2,22,7,2,22,7
47,medium,1,1,17.857142857142858,9,9.571428571428571,8.285714285714286,1,0,19.857142857142858,25826.742857142857,2,22,7,2,22,7
48,high,0.9703014522857143,0.9110957552857143,12,5.142857142857143,5.857142857142857,6.142857142857143,1,0,19.714285714285715,45152.6,1,23,7,1,23,7
48,low,0.9806921167142857,0.9581734794285715,15.142857142857142,6.571428571428571,6.857142857142857,8.285714285714286,1,0,19.714285714285715,18646.97142857143,1,23,7,1,23,7
48,medium,0.9895307002857143,0.9465876988571429,11.571428571428571,6.428571428571429,6.142857142857143,5.428571428571429,1,0,19.857142857142858,24397.8,1,23,7,1,23,7
51,high,0.980407655,0.9375000001428572,13.142857142857142,5.714285714285714,6.428571428571429,6.714285714285714,1,0,19.714285714285715,45761.71428571428,2,22,7,2,22,7
51,low,1,1,21.714285714285715,10,10.142857142857142,11.571428571428571,1,0,19.714285714285715,11877.3,2,22,7,2,22,7
51,medium,0.9997096321428571,0.9942343575714285,16.857142857142858,8.571428571428571,8.571428571428571,8.285714285714286,1,0,19.857142857142858,23070.385714285712,2,22,7,2,22,7
52,high,0.9407252877142858,0.8160403112857143,7.285714285714286,3.857142857142857,3.5714285714285716,3.7142857142857144,1,0,19.714285714285715,24858.5,1,23,4,1,23,4
52,low,0.9127283454285714,0.835873195,9.142857142857142,4.285714285714286,4.571428571428571,4.571428571428571,1,0,19.714285714285715,13499.728571428572,1,23,4,1,23,4
52,medium,0.9471017057142858,0.8422350201428571,8.714285714285714,4.142857142857143,4.285714285714286,4.428571428571429,1,0,19.857142857142858,22190.485714285714,1,23,4,1,23,4
54,high,0.9357634587142857,0.7994255337142857,6.285714285714286,3.7142857142857144,3,3.2857142857142856,1,0,19.714285714285715,16994.214285714286,2,23,7,2,23,7
54,low,0.942964829,0.8179407118571429,7.285714285714286,3.857142857142857,3.2857142857142856,4,1,0,19.714285714285715,4610.414285714286,2,23,7,2,23,7
54,medium,0.925093882,0.7741898805714286,6.142857142857143,3.2857142857142856,2.7142857142857144,3.4285714285714284,0.8571428571428571,0,19.857142857142858,7487.8,2,23,7,2,23,7
55,high,0.9265289915714285,0.81067030757142855,6.857142857142857,4,3,3.857142857142857,1,0,19.714285714285715,19654.114285714284,3,22,7,3,22,7
55,low,0.9624929605714285,0.9113725935714285,12.142857142857142,5.285714285714286,5.857142857142857,6.285714285714286,1,0,19.714285714285715,5827.728571428572,3,22,7,3,22,7
55,medium,0.943409611,0.8632409231428572,11.428571428571429,4,6,5.428571428571429,1,0,19.857142857142858,13475.285714285714,3,22,7,3,22,7
56,high,0.9591540461428572,0.9054347445714286,13,4.714285714285714,5.857142857142857,7.142857142857143,1,0,19.714285714285715,42992.44285714286,2,22,7,2,22,7
56,low,0.9818748918571428,0.9590323312857143,14.428571428571429,6.714285714285714,6.857142857142857,7.571428571428571,1,0,19.714285714285715,8271.657142857142,2,22,7,2,22,7
56,medium,0.9974764915714286,0.9752110074285715,12.428571428571429,7,7,5.428571428571429,1,0,19.857142857142858,15765.514285714286,2,22,7,2,22,7
58,high,0.9640784185714286,0.8955710272857142,10.428571428571429,5.285714285714286,5.142857142857143,5.285714285714286,1,0,19.714285714285715,32828.8,2,23,6,2,23,6
58,low,0.9976948857142858,0.9886648997142857,17.714285714285715,7.714285714285714,8.285714285714286,9.428571428571429,1,0,19.714285714285715,8740.8,2,23,6,2,23,6
58,medium,0.9707728401428571,0.9141736711428571,11.285714285714286,5.285714285714286,6.142857142857143,5.142857142857143,1,0,19.857142857142858,15086.657142857142,2,23,6,2,23,6
60,high,0.9292668555714285,0.8397200445714286,8.857142857142858,4.571428571428571,4.714285714285714,4.142857142857143,0.8571428571428571,0,19.714285714285715,27547.642857142855,2,23,7,2,23,7
60,low,0.9914843374285714,0.9760044644285715,15.571428571428571,7,7,8.571428571428571,1,0,19.714285714285715,8151.5999999999995,2,23,7,2,23,7
60,medium,0.9088023217142858,0.8415320258571428,8.285714285714286,4.285714285714286,4.142857142857143,4.142857142857143,1,0.14285714285714285,19.857142857142858,15624.57142857143,2,23,7,2,23,7
61,high,0.937191426,0.7747885157142858,4.857142857142857,3.4285714285714284,2,2.857142857142857,1,0,19.714285714285715,14446.028571428571,1,32,7,1,32,7
61,low,0.9499160212857143,0.8877762384285715,11.714285714285714,4.857142857142857,5.428571428571429,6.285714285714286,1,0,19.714285714285715,6047.4,1,32,7,1,32,7
61,medium,0.9750479642857143,0.8859158924285714,8.142857142857142,5.285714285714286,4.428571428571429,3.7142857142857144,1,0,19.857142857142858,9047.771428571428,1,32,7,1,32,7
62,high,0.8610083211428572,0.7298941611428572,7,2.7142857142857144,3.4285714285714284,3.5714285714285716,1,0,19.714285714285715,25740.942857142858,2,23,7,2,23,7
62,low,0.8505812164285714,0.8355364118571429,15.428571428571429,6.571428571428571,7.285714285714286,8.142857142857142,0.8571428571428571,0.14285714285714285,19.714285714285715,8042.528571428571,2,23,7,2,23,7
62,medium,0.953817774,0.8137945447142857,5.714285714285714,4,2.2857142857142856,3.4285714285714284,0.8571428571428571,0,19.857142857142858,9530.328571428572,2,23,7,2,23,7
63,high,0.9483122127142857,0.9390345982857143,17.142857142857142,6.857142857142857,8.714285714285714,8.428571428571429,1,0,19.714285714285715,58621.04285714286,2,26,4,2,26,4
63,low,1,1,24.857142857142858,10.857142857142858,11.857142857142858,13,1,0,19.714285714285715,12731.542857142857,2,26,4,2,26,4
63,medium,0.9970424782857142,0.9921875,19.142857142857142,9.428571428571429,9.714285714285714,9.428571428571429,1,0,19.857142857142858,23833.385714285716,2,26,4,2,26,4
64,high,0.9965627942857143,0.9889090402857142,15.714285714285714,7.428571428571429,7.714285714285714,8,1,0,19.714285714285715,46807.271428571425,1,24,7,1,24,7
64,low,0.9934469164285714,0.9815848215714286,16.571428571428573,7.428571428571429,8.142857142857142,8.428571428571429,1,0,19.714285714285715,12869.728571428572,1,24,7,1,24,7
64,medium,0.9507768507142857,0.9251534598571428,14.142857142857142,6.428571428571429,8.142857142857142,6,1,0,19.857142857142858,24083.057142857142,1,24,7,1,24,7
65,high,0.9559072828571429,0.8306493075714285,7,4.142857142857143,3.2857142857142856,3.7142857142857144,1,0,19.714285714285715,22662.5,1,22,7,1,22,7
